title,distance_to_motorway_m,distance_to_aroad_or_motorway_m,distance_to_broad_or_aroad_or_motorway_m,distance_to_public_road_m,distance_to_major_river_m,distance_to_secondary_river_m,distance_to_watercourse_m,distance_to_railway_m,distance_to_woodland_m,distance_to_offroad_cyclepath_m,distance_to_large_greenspace_m,distance_to_medium_greenspace_m,distance_to_small_greenspace_m
571 8,1694,432,432,65,1136,1136,580,274,806,464,5020,1782,778
571 9,1597,177,177,117,950,950,776,303,900,209,4854,1994,826
571 10,1857,102,102,102,1146,1146,556,25,701,118,4601,2201,540
571 11,1682,25,25,25,964,964,719,194,879,58,4666,2182,707
571 12,1760,265,265,102,1119,1119,606,154,731,297,4812,1992,699
572 1,1406,12,12,4,680,680,680,463,1159,0,4791,2169,751
572 2,1034,53,53,53,249,249,249,841,1120,20,4951,2000,320
572 3,1286,195,195,150,695,695,695,615,1203,231,5055,1910,764
572 4,1214,195,195,195,674,674,674,699,1168,287,5145,1847,741
572 5,1366,77,77,37,700,700,700,515,1148,113,4912,2038,771
572 6,1225,126,126,126,607,607,607,661,1272,164,5037,1971,677
572 7,1088,46,46,46,463,463,463,789,1238,120,5080,2019,532
572 8,1072,34,34,29,349,349,349,795,1198,4,4984,2122,420
572 9,1262,144,144,39,479,479,479,608,1357,123,4794,2147,550
572 10,1186,69,69,69,438,438,438,681,1302,47,4889,2163,509
572 11,993,0,0,0,373,373,373,879,1141,114,5120,2047,440
572 12,1034,50,50,50,480,480,480,853,1192,201,5172,1943,546
573 1,733,301,301,120,58,58,0,1160,718,74,5132,1679,0
573 2,754,222,222,31,4,4,4,1140,814,0,5148,1823,58
573 3,832,284,284,102,26,26,26,1046,740,45,5023,1551,31
573 4,916,115,115,27,36,36,36,991,907,23,4964,1725,113
573 5,658,251,251,16,7,7,7,1242,713,0,5227,1788,66
573 6,622,298,298,12,13,13,13,1271,633,0,5243,1709,65
573 7,437,148,148,4,199,199,199,1452,542,185,5438,1814,254
573 8,851,222,222,32,6,6,6,1037,803,17,5009,1627,47
573 9,861,8,8,8,264,264,264,1007,1003,148,5185,2089,325
573 10,830,115,115,21,143,143,143,1040,946,125,5141,1971,207
573 11,693,375,375,112,7,7,7,1187,647,24,5163,1619,35
573 12,802,216,216,86,48,48,48,1102,803,61,5073,1721,0
574 1,555,555,353,261,92,92,87,1289,406,105,5287,1357,0
574 2,490,407,407,257,24,24,24,1403,348,44,5394,1531,68
574 3,613,613,213,108,37,37,37,1164,353,23,5168,1223,0
574 4,381,362,362,221,123,123,13,1547,200,145,5541,1551,19
574 5,838,344,344,162,9,9,9,1039,642,26,5024,1456,33
574 6,454,454,360,334,151,151,151,1391,301,165,5390,1375,21
574 7,547,372,372,137,61,61,61,1330,477,45,5312,1592,130
574 8,452,248,248,85,134,134,134,1428,476,113,5405,1709,229
574 9,347,233,233,89,33,33,33,1529,367,11,5510,1699,139
574 10,761,470,304,130,25,25,25,1091,511,9,5085,1350,81
574 11,321,321,321,321,234,234,53,1556,136,250,5555,1449,110
574 12,379,379,272,272,125,125,125,1413,287,140,5420,1299,0
579 1,440,423,423,423,3506,503,41,715,174,392,141,141,128
579 2,388,388,388,388,3624,690,55,855,294,361,6,6,6
579 3,543,258,258,258,3348,344,82,557,133,480,142,142,57
579 4,613,423,423,423,3333,498,90,546,251,372,0,0,0
579 5,133,133,133,133,3805,507,89,1012,102,85,247,247,65
579 6,188,188,188,180,3703,338,160,894,186,139,361,361,122
579 7,323,323,323,323,3632,529,98,842,229,274,146,146,146
579 8,700,425,425,425,3244,490,179,459,315,311,58,58,58
579 9,221,221,221,221,3710,466,123,918,196,174,228,228,156
579 10,424,166,166,166,3416,263,16,606,83,368,260,190,0
579 11,332,246,246,246,3556,312,34,756,40,281,293,279,12
579 12,478,305,305,305,3430,399,56,638,87,429,144,144,28
580 1,816,256,256,256,2998,339,189,216,254,190,258,258,162
580 2,792,165,165,165,2986,260,162,198,207,208,213,189,121
580 3,846,377,377,377,3041,447,258,250,340,157,263,263,65
580 4,495,127,127,127,3308,210,0,495,93,455,265,147,0
580 5,746,85,85,85,3013,181,147,192,162,202,207,109,97
580 6,658,144,144,144,3129,210,100,331,100,341,314,159,107
580 7,577,204,204,204,3261,273,86,478,160,424,194,194,2
580 8,765,431,431,431,3178,495,245,394,370,254,125,125,24
580 9,716,4,4,4,3033,57,57,180,192,180,99,0,0
580 10,552,104,104,104,3232,168,48,415,54,421,300,121,47
580 11,905,269,269,269,2899,384,91,127,328,121,159,159,63
580 12,918,142,142,142,2843,317,12,47,334,57,62,62,0
581 1,1174,212,212,212,2593,390,141,140,507,131,0,0,0
581 2,1151,121,121,121,2598,270,217,183,446,174,0,0,0
581 3,1011,75,75,75,2748,55,55,161,195,151,60,60,60
581 4,980,63,63,63,2769,240,74,38,358,28,0,0,0
581 5,1076,145,145,145,2678,304,128,93,448,84,0,0,0
581 6,1149,127,127,41,2626,3,3,306,230,297,6,6,6
581 7,1050,225,225,225,2722,394,54,17,463,8,0,0,0
581 8,1293,55,55,55,2459,344,289,299,408,290,0,0,0
581 9,1066,36,36,36,2682,192,174,138,345,128,0,0,0
581 10,1427,42,42,29,2321,314,298,271,298,431,103,103,103
581 11,807,54,54,54,2946,77,13,125,235,119,81,72,0
581 12,928,127,127,127,2830,316,0,28,346,37,42,42,0
582 1,1684,154,154,76,2127,75,75,77,359,807,192,192,0
582 2,1709,346,346,104,2188,37,37,144,202,886,135,135,0
582 3,1623,305,305,32,2250,13,13,200,188,796,50,50,19
582 4,1847,19,19,19,1919,303,303,92,415,760,439,439,67
582 5,1500,208,208,35,2321,68,68,271,273,650,78,78,0
582 6,1521,99,99,17,2227,239,239,188,298,558,218,218,218
582 7,1779,223,223,63,2066,139,139,16,346,917,227,227,0
582 8,1376,247,247,78,2451,100,100,401,281,551,12,12,0
582 9,1650,236,236,25,2191,16,16,140,268,798,107,107,0
582 10,1721,70,70,33,2065,142,142,19,449,820,280,280,70
582 11,1764,41,41,13,1994,265,265,14,353,714,414,414,79
582 12,1501,290,290,56,2355,119,119,304,192,681,0,0,0
583 1,2174,62,62,37,1629,577,398,393,417,749,665,665,284
583 2,1800,311,311,97,2088,133,133,46,296,904,227,227,3
583 3,2028,51,51,32,1796,409,409,223,580,787,497,497,248
583 4,1895,373,373,35,2055,191,191,33,332,793,317,317,116
583 5,1927,58,58,30,1839,377,377,173,447,770,504,504,59
583 6,2266,77,77,26,1631,611,560,333,560,533,703,703,467
583 7,1898,255,255,41,1987,235,235,24,392,818,328,328,104
583 8,2233,177,177,30,1710,536,536,234,572,505,661,661,436
583 9,1914,58,58,35,1890,313,313,132,538,900,410,410,166
583 10,2004,170,170,22,1867,353,353,142,512,742,442,442,205
583 11,1994,260,260,23,1921,324,324,74,460,717,421,421,196
583 12,2208,257,257,28,1777,480,480,155,534,498,632,632,413
584 1,2684,45,45,45,1361,959,456,451,456,249,1112,1112,658
584 2,2398,35,35,35,1468,760,436,486,437,530,849,849,537
584 3,2429,41,41,41,1500,750,545,407,546,417,863,863,623
584 4,2768,30,30,19,1371,1021,393,411,393,179,1192,1192,570
584 5,2407,301,301,20,1686,646,335,165,335,284,826,826,621
584 6,2514,200,200,18,1544,771,371,295,371,231,938,938,717
584 7,2332,85,85,23,1590,655,572,343,573,467,764,764,533
584 8,2568,308,308,22,1646,794,183,153,183,116,988,980,794
584 9,2611,79,79,74,1389,899,484,449,484,293,1040,1040,737
584 10,2612,166,166,49,1489,863,341,322,341,157,1035,1035,727
584 11,2786,31,31,11,1263,1067,520,533,520,307,1215,1138,566
584 12,2415,191,191,37,1603,682,423,268,423,319,841,841,618
585 1,3084,171,171,14,1155,1155,355,601,621,421,1282,1028,256
585 2,2791,98,98,20,1444,1026,308,325,308,93,1211,1097,562
585 3,3297,182,182,28,983,983,186,794,842,649,1174,855,103
585 4,3034,58,58,6,1269,1269,407,487,516,328,1392,1142,312
585 5,3032,54,54,30,1417,1257,427,347,427,293,1452,1085,388
585 6,3042,76,76,10,1066,1066,431,694,687,474,1161,942,337
585 7,2849,80,80,42,1216,1129,550,568,550,336,1255,1093,506
585 8,3217,248,248,11,1093,1093,225,678,728,539,1264,964,126
585 9,2791,164,164,7,1513,1017,240,251,240,52,1211,1018,590
585 10,2938,53,53,3,1134,1134,527,638,620,405,1196,1013,430
585 11,3103,25,25,5,1315,1315,366,454,528,370,1465,1187,282
585 12,2943,80,80,0,1433,1170,361,323,361,204,1363,1071,449
586 1,3514,183,145,19,1319,1249,224,649,886,775,1577,1197,222
586 2,3589,344,344,18,1083,1083,22,861,979,870,1363,963,87
586 3,3404,302,302,13,1068,1068,35,763,870,701,1297,943,0
586 4,3463,69,46,10,1427,1146,323,538,819,732,1673,1241,327
586 5,3639,289,98,0,1349,1229,269,756,1018,944,1643,1231,315
586 6,3576,244,244,7,1086,1086,33,997,989,1049,1411,970,269
586 7,3443,201,201,4,1247,1247,142,653,837,706,1489,1124,148
586 8,3650,345,200,18,1245,1245,172,848,1099,977,1550,1127,265
586 9,3512,221,221,8,967,967,71,895,861,828,1226,844,17
586 10,3414,202,202,19,969,969,95,848,862,744,1198,844,25
586 11,3288,9,9,9,1392,1228,308,456,656,552,1599,1173,293
586 12,3619,332,242,12,1208,1208,125,799,1013,883,1493,1089,168
587 1,3186,124,124,12,1219,1219,281,1236,1263,1246,1726,1230,757
587 2,3263,201,90,8,1495,1151,515,842,1066,1188,1903,1191,669
587 3,3468,102,102,15,1206,1206,164,1082,1117,1215,1559,1093,457
587 4,3486,264,90,14,1351,1276,298,903,1108,1116,1679,1234,430
587 5,3498,169,169,36,1056,1056,14,1074,963,1076,1397,941,337
587 6,3222,121,121,15,1232,1232,182,1283,1163,1256,1626,1130,701
587 7,3360,249,21,21,1487,1176,444,841,1052,1204,1824,1289,571
587 8,3186,138,117,36,1420,1110,547,882,1113,1214,1945,1121,739
587 9,3323,19,19,0,1227,1227,180,1201,1149,1249,1606,1121,608
587 10,3547,303,22,21,1423,1171,352,773,983,1022,1730,1306,414
587 11,3380,43,43,43,1065,1065,23,1182,980,1085,1430,954,464
587 12,3351,99,91,17,1352,1347,311,1021,1230,1282,1709,1240,562
588 1,3050,268,200,37,1085,1085,276,1361,1284,1113,1752,1207,880
588 2,2838,294,81,17,947,947,160,1073,1550,977,2062,896,896
588 3,2900,75,75,20,1142,980,388,1057,1325,1168,2114,872,872
588 4,2781,226,75,23,814,814,74,1133,1462,842,1937,1045,1045
588 5,2962,146,51,51,1105,1086,289,1159,1409,1135,1995,973,956
588 6,3137,180,180,26,1171,1171,275,1290,1258,1199,1723,1223,798
588 7,3070,190,83,20,1114,1114,274,1253,1379,1142,1844,1116,878
588 8,3050,81,18,18,1185,1160,354,1119,1357,1216,1928,1050,866
588 9,2826,197,164,18,1022,951,283,1058,1430,1048,2127,836,836
588 10,2737,262,221,16,946,880,279,972,1437,970,2197,762,762
588 11,2917,356,72,14,949,949,120,1204,1428,976,1896,1069,1027
588 12,2668,337,251,8,866,843,265,903,1476,890,2240,719,719
589 1,2299,100,100,15,348,348,122,587,1856,372,2475,640,640
589 2,2462,118,106,22,496,496,13,797,1784,526,2263,788,788
589 3,2365,252,252,11,495,495,200,608,1704,521,2460,565,565
589 4,2479,279,279,15,742,684,364,713,1479,769,2412,552,552
589 5,2314,286,286,13,526,518,282,556,1642,558,2523,485,485
589 6,2211,210,210,23,497,415,325,453,1645,534,2625,400,400
589 7,2386,82,82,8,421,421,45,731,1850,451,2330,755,755
589 8,2449,171,171,77,490,490,69,721,1787,516,2341,699,699
589 9,2213,35,35,35,264,264,123,533,1921,288,2527,654,654
589 10,2484,332,292,10,626,626,216,726,1627,650,2360,625,625
589 11,2240,140,140,26,342,342,211,492,1816,374,2568,549,549
589 12,2540,130,42,17,572,572,42,889,1693,600,2172,859,859
590 1,2202,42,42,42,257,257,151,508,1914,284,2554,632,632
590 2,1738,50,40,9,49,49,49,132,2250,66,2905,806,806
590 3,1981,92,92,8,51,51,51,348,2085,88,2703,709,709
590 4,1949,62,62,54,229,229,229,219,1939,273,2854,509,509
590 5,2063,92,92,8,105,105,65,473,2076,130,2578,758,758
590 6,1961,34,34,34,105,105,105,254,2047,144,2799,635,635
590 7,1926,76,76,16,333,186,186,176,1821,399,2885,382,382
590 8,1880,9,9,9,167,167,167,139,1990,259,2923,541,541
590 9,2169,122,122,9,305,305,258,423,1836,342,2638,520,520
590 10,1998,109,109,8,404,218,186,242,1748,441,2821,341,341
590 11,1884,101,101,9,16,16,16,309,2180,0,2748,785,785
590 12,1865,9,9,6,255,192,192,133,1889,365,2941,435,435
591 1,1568,21,21,16,11,11,11,136,2299,381,3154,833,833
591 2,1440,7,7,7,81,81,81,120,2474,403,3022,1006,1006
591 3,1495,35,35,2,182,182,182,17,2446,311,2943,981,981
591 4,1513,71,71,35,133,100,2,72,2130,487,3293,678,678
591 5,1485,33,33,19,53,53,53,137,2284,468,3246,826,826
591 6,1584,27,27,24,108,108,108,58,2332,304,3056,864,864
591 7,1635,133,69,12,148,148,148,83,2346,151,2882,894,894
591 8,1404,91,91,17,160,160,0,29,2252,563,3353,810,810
591 9,1751,75,44,33,12,12,12,37,2193,169,3016,733,733
591 10,1565,47,47,47,34,34,34,137,2195,408,3233,732,732
591 11,1600,84,84,18,136,0,0,68,2040,445,3203,579,579
593 1,489,75,75,17,673,224,77,58,3340,145,3461,1273,1273
593 2,439,110,60,26,970,118,6,98,3182,555,3843,1666,1666
593 3,591,53,53,26,822,278,157,85,3048,563,3737,1691,1691
593 4,581,17,17,17,805,244,134,32,3135,446,3668,1575,1575
593 5,691,83,83,7,667,370,158,72,3066,436,3542,1555,1516
593 6,780,22,22,22,488,488,15,279,3072,404,3332,1444,1305
593 7,465,46,46,21,753,210,52,13,3323,210,3543,1338,1338
594 1,118,44,44,30,1112,158,158,228,3191,201,3893,1419,1419
594 2,265,24,24,4,879,17,17,70,3416,236,3661,1278,1278
594 3,53,53,53,13,1053,166,166,287,3209,87,3829,1288,1288
594 4,135,103,103,28,1244,123,123,225,3107,342,4030,1588,1411
594 5,50,12,12,12,1196,245,245,316,3097,184,3975,1448,1369
594 6,38,38,38,18,1005,251,251,424,3150,0,3847,1192,1192
594 7,61,53,53,17,1363,353,353,457,2918,209,4150,1556,1197
594 8,49,41,41,0,1430,318,318,429,2891,161,4211,1653,1194
594 9,260,194,124,32,1120,38,38,110,3241,356,3908,1537,1537
594 10,36,36,36,21,1092,287,287,428,3094,35,3918,1282,1282
594 11,34,12,12,6,1278,356,356,434,2982,205,4070,1473,1249
594 12,157,45,45,6,962,57,57,179,3315,195,3741,1273,1273
595 1,361,32,32,12,1497,646,390,755,2650,21,4363,1624,907
595 2,208,31,31,20,1233,510,510,644,2881,95,4109,1368,1121
595 3,354,64,64,48,1272,633,625,786,2787,0,4183,1370,1023
595 4,81,37,37,36,1323,388,388,482,2924,170,4126,1508,1192
595 5,130,130,130,14,1093,359,359,520,3039,100,3953,1254,1254
595 6,453,84,84,41,1603,729,282,839,2537,70,4476,1718,800
595 7,451,119,119,11,1262,701,610,871,2764,45,4196,1336,1001
595 8,427,52,52,8,1449,756,447,854,2631,32,4351,1548,870
595 9,286,30,30,12,1359,622,525,716,2760,9,4236,1485,1004
595 10,551,8,8,8,1605,834,307,944,2482,0,4506,1697,727
595 11,488,199,199,20,1370,774,570,924,2662,119,4301,1443,898
595 12,224,105,105,18,1109,441,441,612,2981,170,3997,1242,1217
596 1,884,58,58,34,1725,1191,224,1314,2273,30,4683,1748,533
596 2,696,45,45,37,1611,1013,402,1123,2410,99,4551,1663,647
596 3,697,254,254,17,1449,961,364,1129,2549,248,4408,1479,805
596 4,848,265,220,17,1545,1109,216,1280,2450,236,4513,1550,738
596 5,574,158,158,19,1457,871,502,1011,2566,196,4395,1518,803
596 6,667,6,6,6,1674,953,302,1063,2381,0,4594,1746,620
596 7,765,156,156,8,1570,1053,314,1202,2429,133,4527,1598,685
596 8,555,78,78,13,1508,873,443,986,2535,123,4433,1581,770
596 9,914,142,142,18,1692,1204,180,1350,2303,112,4656,1702,586
596 10,570,249,249,13,1361,832,488,999,2649,175,4308,1412,892
596 11,1048,42,42,42,1930,1341,66,1452,2068,81,4669,1950,335
596 12,1065,142,142,50,2002,1338,16,1447,2006,181,4582,2031,250
597 1,1412,32,32,13,2194,1712,262,1822,1814,65,4520,2147,326
597 2,1264,149,16,16,2144,1538,130,1647,1851,188,4487,2151,197
597 3,1093,73,73,73,1980,1379,17,1489,2018,111,4624,1998,291
597 4,1519,154,154,14,2339,1798,374,1907,1665,185,4374,2297,260
597 5,1271,10,10,10,2073,1574,121,1684,1925,47,4599,2056,336
597 6,1376,195,195,17,2018,1653,248,1724,2032,174,4770,1916,506
597 7,1466,194,194,17,2094,1743,334,1767,1952,174,4735,1970,425
597 8,1344,111,52,7,2183,1628,199,1738,1812,146,4482,2173,235
597 9,1291,246,169,24,1916,1559,178,1639,2127,189,4852,1823,575
597 10,1495,24,24,9,2213,1794,352,1920,1824,4,4566,2124,440
597 11,1405,25,25,9,2140,1706,263,1830,1881,4,4602,2072,413
597 12,1304,116,116,23,2006,1593,165,1738,2015,92,4726,1942,495
598 1,2036,210,210,120,2514,2310,899,1799,1386,9,4555,2356,125
598 2,1801,272,272,24,2303,2067,674,1881,1616,156,4693,2132,117
598 3,1931,277,277,126,2390,2197,801,1854,1486,91,4653,2227,7
598 4,1944,147,147,55,2500,2225,805,1907,1484,9,4523,2330,138
598 5,1785,22,22,22,2456,2081,641,2081,1660,1,4460,2306,289
598 6,1664,31,31,14,2349,1960,522,2008,1732,13,4511,2220,353
598 7,1864,155,155,20,2440,2145,726,1969,1561,19,4557,2266,137
598 8,2024,130,130,39,2568,2307,885,1850,1409,49,4481,2402,131
598 9,1945,7,7,7,2601,2242,800,1980,1515,0,4390,2429,139
598 10,2012,299,299,152,2426,2277,883,1776,1405,96,4650,2274,60
598 11,1574,32,32,15,2273,1872,433,1961,1784,14,4545,2164,422
598 12,1678,232,232,26,2249,1949,548,1845,1739,198,4695,2076,229
599 1,2156,8,8,8,2752,2451,1010,1807,1317,0,4320,2586,0
599 2,2184,150,150,150,2665,2465,1026,1707,1251,85,4448,2515,80
599 3,2064,122,122,39,2602,2347,925,1821,1372,56,4460,2438,102
599 4,2265,207,207,64,2681,2541,949,1613,1162,64,4478,2543,67
599 5,2128,254,254,181,2543,2398,993,1701,1291,10,4570,2397,104
599 6,2450,328,328,31,2729,2717,781,1402,967,91,4548,2620,200
599 7,2305,40,40,40,2835,2597,901,1669,1169,23,4303,2684,0
599 8,2227,103,103,18,2903,2518,943,1836,1317,131,4160,2733,119
599 9,2307,96,96,30,2957,2598,900,1768,1246,125,4140,2790,115
599 10,2284,119,119,109,2762,2568,924,1644,1164,101,4385,2616,21
599 11,2239,284,284,94,2602,2508,986,1597,1179,0,4562,2470,132
599 12,2364,134,134,84,2808,2647,845,1571,1084,116,4378,2671,25
600 1,2724,168,168,98,2564,2564,486,1255,738,150,4336,2765,385
600 2,2924,41,41,41,2374,2374,284,1112,586,106,4264,2721,432
600 3,2686,17,17,17,2628,2628,519,1368,842,0,4193,2916,349
600 4,2804,131,131,131,2491,2491,404,1208,683,113,4286,2764,466
600 5,2634,155,155,18,2655,2655,576,1337,825,137,4338,2818,295
600 6,2825,52,52,52,2485,2485,381,1234,708,33,4204,2827,488
600 7,3004,38,38,38,2284,2284,170,1066,564,63,4166,2762,314
600 8,2934,53,53,53,2249,2249,182,960,433,194,4366,2577,365
600 9,2569,323,323,25,2706,2706,660,1306,850,207,4517,2709,278
600 10,3032,36,36,3,2322,2322,174,1139,665,96,4047,2878,335
600 11,2846,93,93,28,2516,2516,362,1321,817,125,4024,2986,518
600 12,2937,29,29,29,2269,2269,222,943,426,235,4448,2515,434
601 1,2627,98,98,56,1892,1892,152,709,375,22,4210,2597,31
601 2,2815,153,153,68,2105,2105,15,872,379,27,4270,2604,182
601 3,2537,132,132,132,1805,1805,62,620,344,51,4253,2540,64
601 4,2598,268,268,5,1900,1900,106,653,206,125,4379,2442,200
601 5,2858,125,125,54,2176,2176,116,885,358,128,4393,2522,325
601 6,2854,41,41,41,2101,2101,33,944,566,16,4039,2805,127
601 7,2916,31,31,31,2188,2188,70,987,512,84,4152,2737,214
601 8,2512,296,296,83,1816,1816,21,569,179,197,4411,2393,228
601 9,2763,209,209,42,2089,2089,48,785,259,60,4450,2438,318
601 10,2789,203,203,84,2099,2099,34,828,308,46,4370,2513,254
601 11,2572,11,11,11,1817,1817,127,667,466,47,4134,2653,0
601 12,2932,97,97,97,2220,2220,123,987,478,135,4234,2679,271
602 1,2219,130,130,130,1489,1489,205,308,441,109,4387,2384,189
602 2,2294,215,215,215,1580,1580,158,371,335,184,4416,2357,180
602 3,2014,117,117,117,1294,1294,405,102,573,97,4509,2272,387
602 4,2427,182,182,182,1703,1703,22,507,314,105,4328,2453,112
602 5,2411,78,78,78,1664,1664,6,504,423,9,4243,2532,8
602 6,2277,63,63,63,1528,1528,129,372,478,47,4295,2476,112
602 7,2136,179,179,179,1424,1424,303,217,450,155,4482,2290,291
602 8,2161,39,39,39,1412,1412,239,258,544,17,4348,2427,227
602 9,2243,99,99,19,1455,1455,221,348,682,130,4153,2625,213
602 10,2561,28,28,15,1791,1791,139,661,546,124,4067,2713,58
602 11,2532,36,36,36,1779,1779,85,626,444,22,4166,2618,0
602 12,2027,3,3,3,1276,1276,371,126,643,0,4407,2381,361
603 1,1935,457,457,23,1087,1087,716,11,1137,436,4134,2349,707
603 2,1843,140,140,0,1054,1054,588,24,899,119,4396,2448,578
603 3,1676,230,230,18,870,870,779,195,1075,210,4461,2358,769
603 4,1999,359,359,97,1166,1166,590,87,1014,344,4143,2474,581
603 5,1969,95,95,16,1186,1186,455,73,789,91,4340,2472,445
603 6,1941,30,30,30,1203,1203,458,38,679,10,4486,2311,446
603 7,1703,32,32,22,950,950,698,166,917,12,4575,2285,688
603 8,1533,142,142,39,755,755,755,335,1116,117,4624,2315,826
603 9,2004,168,168,2,1206,1206,457,108,834,171,4263,2552,447
603 10,1910,255,255,23,1095,1095,587,9,958,233,4271,2491,577
603 11,2050,285,285,38,1230,1230,496,147,923,293,4152,2568,487
603 12,1824,34,34,0,1063,1063,579,44,832,14,4485,2346,569
604 1,1301,225,225,15,425,425,425,612,1170,355,4606,1830,425
604 2,1336,292,292,28,471,471,471,573,1260,346,4601,1925,510
604 3,1652,501,501,19,793,793,793,252,1323,480,4336,2112,804
604 4,1213,198,198,28,367,367,367,683,1239,205,4743,1955,438
604 5,1587,442,331,23,703,703,703,324,1157,647,4308,1841,630
604 6,1547,367,367,18,708,708,708,342,1278,342,4478,2155,773
604 7,1695,424,424,0,848,848,848,201,1229,404,4337,2207,867
604 8,1331,246,246,17,511,511,511,548,1375,224,4690,2100,582
604 9,1376,350,350,7,530,530,530,520,1361,328,4605,2033,601
604 10,1460,272,272,12,640,640,640,418,1275,248,4589,2174,711
604 11,1477,370,370,7,597,597,597,434,1260,526,4428,1852,552
604 12,1494,148,148,29,714,714,714,374,1155,123,4644,2309,785
605 1,930,242,242,73,47,47,47,946,702,30,4927,1478,0
605 2,1062,156,156,50,181,181,181,813,720,163,4796,1434,44
605 3,1160,121,121,10,295,295,295,750,1137,204,4760,1856,366
605 4,1166,48,48,25,281,281,281,711,802,263,4690,1467,138
605 5,1096,36,36,36,210,210,210,790,870,193,4763,1580,122
605 6,1448,260,258,21,562,562,562,449,1113,547,4420,1679,457
605 7,1191,113,113,20,312,312,312,720,1081,286,4703,1776,328
605 8,1255,7,7,7,415,415,415,580,797,399,4567,1381,251
605 9,986,100,100,26,101,101,101,907,873,89,4877,1631,130
605 10,948,170,170,5,62,62,62,934,794,44,4908,1564,72
605 11,1165,46,46,25,280,280,280,735,990,265,4707,1682,241
605 12,1145,110,110,5,313,313,313,689,710,299,4679,1351,143
606 1,922,317,233,21,111,111,111,922,573,95,4915,1340,0
606 2,1001,279,7,7,340,340,340,750,518,324,4752,1164,190
606 3,1069,230,39,39,427,427,395,664,558,411,4668,1133,275
606 4,615,615,177,74,70,70,70,1145,320,56,5151,1187,0
606 5,731,517,176,70,122,122,122,1050,386,107,5051,1215,0
606 6,868,354,325,114,11,11,11,1012,602,0,5001,1407,5
606 7,861,409,58,12,266,266,266,887,411,248,4891,1145,63
606 8,969,332,39,39,400,400,307,746,456,382,4755,1074,172
606 9,1071,194,64,22,317,317,317,718,613,300,4714,1257,153
606 10,550,550,118,86,103,103,95,1176,242,88,5186,1121,58
606 11,1177,113,19,12,457,457,457,582,675,440,4581,1220,289
606 12,963,390,194,28,467,467,189,708,416,449,4720,917,144
607 1,415,415,112,112,245,245,55,1238,107,225,5255,877,162
607 2,618,618,522,58,91,91,91,1060,193,113,5071,455,231
607 3,497,497,195,195,145,145,88,1151,91,125,5168,783,157
607 4,263,263,224,224,203,203,203,1387,234,177,5401,795,230
607 5,726,689,298,178,154,154,59,923,228,134,4938,692,103
607 6,368,368,221,221,170,170,170,1281,204,141,5296,783,234
607 7,449,449,431,111,10,10,10,1222,209,41,5231,569,402
607 8,610,610,251,206,108,108,108,1039,137,93,5054,723,139
607 9,731,640,200,112,246,246,1,922,186,226,4938,799,2
607 10,358,358,329,233,83,83,83,1304,299,52,5311,688,337
607 11,367,367,15,15,151,151,71,1304,176,137,5318,981,61
607 12,679,645,81,13,320,320,45,992,142,305,5005,910,6
612 1,337,208,208,16,3534,233,233,721,444,360,356,237,237
612 2,628,62,62,56,3353,438,167,680,219,666,254,224,138
612 3,353,5,5,5,3408,113,113,558,121,322,409,30,21
612 4,444,38,38,38,3303,33,33,447,94,424,306,0,0
612 5,686,39,39,39,3123,141,123,372,244,366,0,0,0
612 6,482,88,88,0,3350,210,210,555,361,490,173,173,173
612 7,332,70,70,26,3417,5,5,561,189,318,346,0,0
612 8,618,76,76,35,3132,3,3,280,132,280,135,8,8
612 9,242,175,175,11,3559,128,128,718,379,257,406,162,162
612 10,691,22,22,22,3062,3,3,225,204,222,58,0,0
612 11,406,147,147,27,3445,209,209,641,405,422,266,213,213
612 12,300,232,232,22,3622,256,256,825,497,359,345,337,279
613 1,1080,332,332,190,2769,144,77,407,81,396,7,7,7
613 2,922,295,295,118,2979,244,44,467,44,457,119,119,0
613 3,762,150,150,22,3119,252,117,470,127,462,91,91,53
613 4,1212,516,516,174,2753,289,67,613,166,601,104,37,2
613 5,905,211,211,211,2904,72,18,296,35,285,0,0,0
613 6,810,231,231,25,3192,413,9,630,151,621,251,122,0
613 7,824,174,174,136,3013,154,84,371,134,362,36,36,0
613 8,845,248,248,19,3097,325,13,542,53,533,193,101,0
613 9,1017,416,416,190,2977,375,114,600,114,589,193,45,45
613 10,1035,239,239,154,2771,81,29,308,70,297,0,0,0
613 11,1163,568,568,75,2909,453,57,715,57,703,247,52,0
613 12,1122,483,483,247,2822,283,88,555,194,544,75,75,14
614 1,1702,840,840,53,2552,32,32,566,290,907,424,333,0
614 2,1313,610,610,52,2723,385,106,682,118,721,208,0,0
614 3,1726,540,540,95,2288,8,8,266,136,963,173,173,66
614 4,1713,457,457,118,2247,37,37,213,134,927,135,135,62
614 5,1682,665,665,58,2424,47,47,413,171,992,253,253,0
614 6,1685,751,751,51,2491,35,35,490,219,994,335,290,0
614 7,1617,482,482,16,2353,39,18,316,27,859,71,71,71
614 8,1325,443,443,60,2598,229,42,547,117,615,96,21,21
614 9,1546,395,395,19,2367,102,85,320,85,761,0,0,0
614 10,1442,601,601,49,2594,271,19,556,35,787,202,36,36
614 11,1288,323,323,105,2567,109,109,517,232,518,0,0,0
614 12,1300,691,691,40,2799,425,48,760,48,774,279,0,0
615 1,1786,547,547,36,2239,7,7,224,196,902,225,225,82
615 2,2132,678,678,30,2132,365,365,234,507,629,605,605,381
